name,primary_category,apple_categories,cueola_tags,semantic_names,availability,source_path,runtime_path,aliases
display.and.arrow.down,arrows,devices;arrows;media,department:playback,,2021,source/arrows/display.and.arrow.down.svg,runtime/regular-small/arrows/display.and.arrow.down.svg,
ellipsis,objectsandtools,variable;objectsandtools,action:navigation,action.more,2019,source/objectsandtools/ellipsis.svg,runtime/regular-small/objectsandtools/ellipsis.svg,
exclamationmark.triangle,privacyandsecurity,automotive;multicolor;privacyandsecurity,state:warning,state.warning,2019,source/privacyandsecurity/exclamationmark.triangle.svg,runtime/regular-small/privacyandsecurity/exclamationmark.triangle.svg,
film.stack,media,objectsandtools;media,department:playback,,2022,source/media/film.stack.svg,runtime/regular-small/media/film.stack.svg,
fire.extinguisher,privacyandsecurity,objectsandtools;privacyandsecurity,state:warning,,2024,source/privacyandsecurity/fire.extinguisher.svg,runtime/regular-small/privacyandsecurity/fire.extinguisher.svg,
gearshape,objectsandtools,objectsandtools,action:settings,action.settings,2020,source/objectsandtools/gearshape.svg,runtime/regular-small/objectsandtools/gearshape.svg,
guitars,media,objectsandtools;media,department:playback,,2019,source/media/guitars.svg,runtime/regular-small/media/guitars.svg,
hammer,objectsandtools,objectsandtools,action:settings,,2019,source/objectsandtools/hammer.svg,runtime/regular-small/objectsandtools/hammer.svg,
hand.draw,editing,human;editing,,,2019,source/editing/hand.draw.svg,runtime/regular-small/editing/hand.draw.svg,
hare,nature,accessibility;nature,,,2019,source/nature/hare.svg,runtime/regular-small/nature/hare.svg,
heart,health,health;multicolor;variable,,state.favorite,2019,source/health/heart.svg,runtime/regular-small/health/heart.svg,
